run_id,formula,start_mode,classification,status,return_kind,raw_status,repair_status,repair_verifier_status,repair_accepted_move_count,reason,artifact_path
v1-5-shallow-pure-blind-shallow-exp-pure-blind-38ff2b4c6e37,exp,blind,repaired_candidate,repaired_candidate,,,repaired,recovered,1,train_failed,artifacts/proof/v1.6/campaigns/proof-shallow-pure-blind/runs/v1.5-shallow-pure-blind/v1-5-shallow-pure-blind-shallow-exp-pure-blind-38ff2b4c6e37.json
v1-5-shallow-pure-blind-shallow-log-pure-blind-9f03a09a571f,log,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,train_failed,artifacts/proof/v1.6/campaigns/proof-shallow-pure-blind/runs/v1.5-shallow-pure-blind/v1-5-shallow-pure-blind-shallow-log-pure-blind-9f03a09a571f.json
v1-5-shallow-pure-blind-shallow-log-pure-blind-3941715f3d32,log,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,train_failed,artifacts/proof/v1.6/campaigns/proof-shallow-pure-blind/runs/v1.5-shallow-pure-blind/v1-5-shallow-pure-blind-shallow-log-pure-blind-3941715f3d32.json
v1-5-shallow-pure-blind-shallow-log-pure-blind-03a03c8b35da,log,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,train_failed,artifacts/proof/v1.6/campaigns/proof-shallow-pure-blind/runs/v1.5-shallow-pure-blind/v1-5-shallow-pure-blind-shallow-log-pure-blind-03a03c8b35da.json
v1-5-shallow-pure-blind-shallow-radioactive-decay-pure-blind-b8c2dbde649d,radioactive_decay,blind,failed,failed,,,not_repaired,,0,train_failed,artifacts/proof/v1.6/campaigns/proof-shallow-pure-blind/runs/v1.5-shallow-pure-blind/v1-5-shallow-pure-blind-shallow-radioactive-decay-pure-blind-b8c2dbde649d.json
v1-5-shallow-pure-blind-shallow-radioactive-decay-pure-blind-03920c466c9d,radioactive_decay,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,train_failed,artifacts/proof/v1.6/campaigns/proof-shallow-pure-blind/runs/v1.5-shallow-pure-blind/v1-5-shallow-pure-blind-shallow-radioactive-decay-pure-blind-03920c466c9d.json
v1-5-shallow-pure-blind-shallow-radioactive-decay-pure-blind-a48b19cb28a2,radioactive_decay,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,train_failed,artifacts/proof/v1.6/campaigns/proof-shallow-pure-blind/runs/v1.5-shallow-pure-blind/v1-5-shallow-pure-blind-shallow-radioactive-decay-pure-blind-a48b19cb28a2.json
v1-5-shallow-pure-blind-shallow-beer-lambert-pure-blind-d4b6b4704428,beer_lambert,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,train_failed,artifacts/proof/v1.6/campaigns/proof-shallow-pure-blind/runs/v1.5-shallow-pure-blind/v1-5-shallow-pure-blind-shallow-beer-lambert-pure-blind-d4b6b4704428.json
v1-5-shallow-pure-blind-shallow-beer-lambert-pure-blind-8599744dc0b5,beer_lambert,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,train_failed,artifacts/proof/v1.6/campaigns/proof-shallow-pure-blind/runs/v1.5-shallow-pure-blind/v1-5-shallow-pure-blind-shallow-beer-lambert-pure-blind-8599744dc0b5.json
v1-5-shallow-pure-blind-shallow-beer-lambert-pure-blind-4908b626f452,beer_lambert,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,train_failed,artifacts/proof/v1.6/campaigns/proof-shallow-pure-blind/runs/v1.5-shallow-pure-blind/v1-5-shallow-pure-blind-shallow-beer-lambert-pure-blind-4908b626f452.json
